Name,Born,Height,Weight,Division,Reach,Style
Leon Edwards,"Leon Edwards (1991-08-25) 25 August 1991 (age 27)Kingston, Jamaica",6 ft 2 in (1.88 m),170 lb (77 kg; 12 st),Middleweight Welterweight,74 in (188 cm)[2],Not Available
Rafael dos Anjos,"(1984-10-26) October 26, 1984 (age 34)Niterói, Rio de Janeiro, Brazil[1]",5 ft 8 in (1.73 m)[2],170 lb (77 kg; 12 st)[2],Lightweight (2004-2016) Welterweight (2017-present),70 in (178 cm)[2],"Brazilian Jiu-Jitsu, Muay Thai"
Walt Harris,"Walter Jermaine Harris (1983-06-10) June 10, 1983 (age 36)Birmingham, Alabama, United States",6 ft 5 in (1.96 m),258 lb (117 kg; 18.4 st),Heavyweight,81 in (206 cm)[1],Not Available
Aleksei Oleinik,"Oleksíy Oleksíyovych Olíynyk (1977-06-25) June 25, 1977 (age 42)[1]Kharkov, Ukrainian SSR, Soviet Union",6 ft 2 in (188 cm)[4],235 lb (107 kg; 16 st 11 lb),HeavyweightLight heavyweightMiddleweight,80 in (200 cm)[5],"Combat Sambo, Jujutsu, Brazilian Jiu Jitsu"
Greg Hardy,"(1988-07-28) July 28, 1988 (age 30)",6 ft 5 in (1.96 m),265 lb (120 kg),Heavyweight,80.5 inch (204cm),Boxing
Juan Adams,"(1992-01-16) January 16, 1992 (age 27)Houston, Texas, United States",6 ft 5 in (1.96 m),265 lb (120 kg; 18 st 13 lb),Heavyweight,81 in (206 cm)[1],Wrestling
Dan Hooker,"Daniel Hooker (1990-02-13) 13 February 1990 (age 29)Auckland, New Zealand",6 ft 0 in (1.83 m)[1],155.5 lb (70.5 kg; 11.11 st),"Featherweight (2012, 2014-2016)Lightweight (2009-2012, 2017-present)",75 in (191 cm)[1],"Muay Thai, Brazilian Jiu-Jitsu"
James Vick,"(1987-02-23) February 23, 1987 (age 32)Mineral Wells, Texas, United States",6 ft 3 in (1.91 m),155 lb (70 kg; 11.1 st),Lightweight (2011–present)  Welterweight (2011),76 in (193 cm)[1],"Boxing, Brazilian Jiu-Jitsu"
Alexander Hernandez,"(1992-10-01) October 1, 1992 (age 26)St. Louis, Missouri, United States",5 ft 9 in (1.75 m),155 lb (70 kg; 11.1 st),Lightweight (155 lbs) (2014–present)  Featherweight (145 lbs) (2012–2013),72 in (183 cm),Not Available
Francisco Trinaldo,"(1978-08-24) August 24, 1978 (age 40)Amarante, Piauí, Brazil",5 ft 9 in (1.75 m)[1],155 lb (70 kg; 11.1 st),Lightweight (2006-present)Middleweight (2012),70 in (178 cm)[1],"Kickboxing, Submission Wrestling"
Andrei Arlovski,"(1979-02-04) 4 February 1979 (age 40)Babruysk, Byelorussian SSR, Soviet Union (now Belarus)",6 ft 3 in (191 cm),249 lb (113 kg; 17 st 11 lb),Heavyweight,77 in (196 cm)[1],"Kickboxing, Sambo, Brazilian Jiu-Jitsu"
Ben Rothwell,"(1981-10-17) October 17, 1981 (age 37)Kenosha, Wisconsin, United States",6 ft 4 in (193 cm)[1],265 lb (120 kg; 18 st 13 lb),Heavyweight,78 1⁄2 in (199 cm) [1],"Kickboxing, Brazilian Jiu-Jitsu"
Alex Caceres,"Alex Caceres (1988-06-20) June 20, 1988 (age 31)Miami, Florida, United States",5 ft 10 in (1.78 m)[1],145 lb (66 kg; 10.4 st),Bantamweight Featherweight Lightweight,73 1⁄2 in (187 cm)[2],"Jeet Kune Do, BJJ"
Steven Peterson,"(1990-05-29) May 29, 1990 (age 29)Redondo Beach, California, United States",5 ft 9 in (1.75 m),145 lb (66 kg; 10 st 5 lb),Featherweight  Bantamweight,70 in (178 cm),Not Available
