Fighter_name,Result,Record,Opponent,Method,Event,Date,Round,Time
Leon Edwards,Win,18–3,Rafael dos Anjos,Decision (unanimous),UFC on ESPN: dos Anjos vs. Edwards,20 July 2019,5,5:00
Leon Edwards,Win,17–3,Gunnar Nelson,Decision (split),UFC Fight Night: Till vs. Masvidal,16 March 2019,3,5:00
Leon Edwards,Win,16–3,Donald Cerrone,Decision (unanimous),UFC Fight Night: Cowboy vs. Edwards,23 June 2018,5,5:00
Leon Edwards,Win,15–3,Peter Sobotta,TKO (punches),UFC Fight Night: Werdum vs. Volkov,17 March 2018,3,4:59
Leon Edwards,Win,14–3,Bryan Barberena,Decision (unanimous),UFC Fight Night: Volkov vs. Struve,2 September 2017,3,5:00
Leon Edwards,Win,13–3,Vicente Luque,Decision (unanimous),UFC Fight Night: Manuwa vs. Anderson,18 March 2017,3,5:00
Leon Edwards,Win,12–3,Albert Tumenov,Submission (rear-naked choke),UFC 204,8 October 2016,3,3:01
Leon Edwards,Win,11–3,Dominic Waters,Decision (unanimous),UFC Fight Night: Overeem vs. Arlovski,8 May 2016,3,5:00
Leon Edwards,Loss,10–3,Kamaru Usman,Decision (unanimous),UFC on Fox: dos Anjos vs. Cerrone 2,19 December 2015,3,5:00
Leon Edwards,Win,10–2,Pawel Pawlak,Decision (unanimous),UFC Fight Night: Bisping vs. Leites,18 July 2015,3,5:00
Leon Edwards,Win,9–2,Seth Baczynski,KO (punches),UFC Fight Night: Gonzaga vs. Cro Cop 2,11 April 2015,1,0:08
Leon Edwards,Loss,8–2,Cláudio Silva,Decision (split),UFC Fight Night: Shogun vs. Saint Preux,8 November 2014,3,5:00
Leon Edwards,Win,8–1,Shaun Taylor,KO (punch),BAMMA 16: Daley vs. da Rocha,13 September 2014,3,3:30
Leon Edwards,Win,7–1,Wayne Murrie,Submission (rear-naked choke),BAMMA 15: Thompson vs. Selmani,5 May 2014,3,3:13
Leon Edwards,Win,6–1,Wendle Lewis,KO (punches),BAMMA 14: Daley vs. da Silva,14 December 2013,1,1:20
Leon Edwards,Win,5–1,Adam Boussif,Submission (arm-triangle choke),BAMMA 13: Nunes vs. Jones,13 September 2013,1,2:10
Leon Edwards,Win,4–1,Jonathan Bilton,TKO (knees),BAMMA 11: Marshman vs. Foupa-Pokam,1 December 2012,2,1:11
Leon Edwards,Win,3–1,Craig White,Technical Decision,SAH 14: Strength And Honour 14,3 November 2012,2,5:00
Leon Edwards,Loss,2–1,Delroy McDowell,DQ (illegal knee),Fight UK MMA: Fight UK 6,25 February 2012,3,2:40
Leon Edwards,Win,2–0,Pawel Zwiefka,Decision (unanimous),Fight UK MMA: Fight UK 5,19 November 2011,3,5:00
Leon Edwards,Win,1–0,Damian Zlotnicki,TKO (punches),Fight UK MMA: Fight UK 4,5 June 2011,1,2:15
Rafael dos Anjos,Loss,29–12,Leon Edwards,Decision (unanimous),UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019",5,5:00
Rafael dos Anjos,Win,29–11,Kevin Lee,Submission (arm-triangle choke),UFC Fight Night: dos Anjos vs. Lee,"May 18, 2019",4,3:47
Rafael dos Anjos,Loss,28–11,Kamaru Usman,Decision (unanimous),The Ultimate Fighter: Heavy Hitters Finale,"November 30, 2018",5,5:00
